fgbg,fg,bg
16ADC482,16AD,C482
4A055EDF,4A05,5EDF
8EA95F4A,8EA9,5F4A
4442E179,4442,E179
16AD48CF,16AD,48CF
3FC65EDF,3FC6,5EDF
190EE046,190E,E046
11F35EDF,11F3,5EDF
95235F4A,9523,5F4A
32F9E046,32F9,E046
10259417,1025,9417
5EDF8769,5EDF,8769
A2235F4A,A223,5F4A
B5A59417,B5A5,9417
576E70AF,576E,70AF
5F4A2A82,5F4A,2A82
E046E259,E046,E259
70389417,7038,9417
AFD770AF,AFD7,70AF
E046EB28,E046,EB28
03C514E7,03C5,14E7
13E265D8,13E2,65D8
9ADE32F9,9ADE,32F9
238865D8,2388,65D8
44B565D8,44B5,65D8
32F9EB28,32F9,EB28
65D8729C,65D8,729C
A2239A0A,A223,9A0A
65D88337,65D8,8337
43E79A0A,43E7,9A0A
